Queen's University,,,,North America,United States,Pennsylvania,16%,50624,www.qub.ac.uk,+1 (613) 533 2000
Queen's University Belfast,,,,Asia,Japan,Tokyo,35%,70384,queensu.ca,+44 (28) 9024 5133
Queensland University of Technology,,,,North America,United States,Pennsylvania,68%,49900,qut.edu.au,+61 (0)7 3138 2000
Radboud University,#190 of 14131,#65 of 2785,#8 of 58,North America,United States,Ohio,14%,72493,www.ru.nl,+31 (24) 361 61 61
Rensselaer Polytechnic Institute,,,,North America,United States,New York State,11%,35120,rpi.edu,5182766000
Rice University,#173 of 14131,#91 of 2597,#81 of 2496,Europe,Germany,North Rhine-Westphalia,10%,51655,www.rice.edu,7133480000
RMIT University,,,,North America,United States,California,80%,73582,www.rmit.edu.au,+61 (0)3 9925 2000
Ruhr University Bochum,,,,Europe,Denmark,Copenhagen,48%,64180,www.ruhr-uni-bochum.de,+49 (234) 32 25483
Rutgers University - New Brunswick,#35 of 14131,#31 of 2597,#29 of 2496,Europe,Poland,Warsaw,,143641,newbrunswick.rutgers.edu,8484454636
RWTH Aachen University,#157 of 14131,#49 of 2785,#11 of 369,Europe,Spain,Madrid,42%,85888,rwth-aachen.de,+49 (241) 801
Sapienza University of Rome,#104 of 14131,#25 of 2785,#2 of 88,Europe,Germany,Saxony,42%,138535,www.uniroma1.it,+39 06 4991 0292
Seoul National University,#159 of 14131,#15 of 5830,#1 of 193,Asia,South Korea,Seoul,84%,123239,snu.ac.kr,+82 (2) 880 4447
Shandong University,,,,North America,United States,Ohio,21%,99504,sdu.edu.cn,+86 (531) 883 64853
Shanghai Jiao Tong University,#110 of 14131,#8 of 5830,#4 of 960,North America,United States,South Carolina,72%,183572,www.sjtu.edu.cn,+86 (21) 6293 2414
Simon Fraser University,#129 of 14131,#76 of 2597,#7 of 101,Europe,Czech Republic,Prague,66%,45185,www.sfu.ca,+1 (778) 782 6930
Stanford University,#2 of 14131,#2 of 2597,#2 of 2496,North America,United States,Dublin,,287025,stanford.edu,6507232300
State University of Campinas,,,,North America,Canada,Quebec State,5%,105481,www.unicamp.br,+55 (19) 3521 4718
Stockholm University,,,,Europe,Austria,Vienna,75%,55990,www.su.se,+46 (8) 162 000
Stony Brook University,,,,North America,United States,Iowa State,96%,60687,www.stonybrook.edu,6316326000
Sun Yat - Sen University,,,,Asia,China,Beijing,30%,117251,sysu.edu.cn,+86 (20) 8411 1085
Swiss Federal Institute of Technology Zurich,#62 of 14131,#8 of 2785,#1 of 23,Europe,Italy,Tuscany,,109500,ethz.ch,+41 (44) 632 1111
Technical University of Berlin,,,,Europe,United Kingdom,Scotland,57%,53153,www.tu.berlin,+49 (30) 3140
Technical University of Denmark,,,,Europe,United Kingdom,England,35%,59495,www.dtu.dk,+45 4525 2525
Technical University of Munich,#86 of 14131,#16 of 2785,#3 of 369,North America,United States,California,17%,109945,www.tum.de,+49 (89) 289 01
Technion - Israel Institute of Technology,,,,Europe,United Kingdom,England,18%,68575,www.technion.ac.il,+972 (4) 829 2111
Tel Aviv University,#119 of 14131,#10 of 5830,#1 of 36,North America,United States,New York State,18%,101800,tau.ac.il,+972 (3) 640 8111
Temple University,#163 of 14131,#89 of 2597,#79 of 2496,North America,United States,Tennessee,12%,59274,temple.edu,2152047000
Texas A&M University - College Station,#41 of 14131,#36 of 2597,#34 of 2496,Asia,Japan,Tokyo,,144192,www.tamu.edu,9798453211
Tohoku University,#123 of 14131,#11 of 5830,#4 of 719,Europe,United Kingdom,England,32%,153863,www.tohoku.ac.jp,+81 (22) 217 4844
Tokyo Institute of Technology,,,,North America,United States,Texas,85%,92622,www.titech.ac.jp,+81 (3) 5734 2975
Trinity College Dublin University of Dublin,,,,North America,United States,California,5%,44721,tcd.ie,+353 (1) 677 2941
Tsinghua University,#54 of 14131,#2 of 5830,#1 of 960,Asia,China,Guangzhou,,188228,www.tsinghua.edu.cn,+86 (10) 6278 3769
Tufts University,#94 of 14131,#62 of 2597,#58 of 2496,North America,United States,Massachusetts,64%,58748,www.tufts.edu,6176285000
Tulane University of Louisiana,,,,North America,United States,Missouri,15%,42442,tulane.edu,5048655000
Umea University,,,,Europe,United Kingdom,England,63%,46247,umu.se,+46 (90) 786 5000
University at Buffalo,#182 of 14131,#95 of 2597,#84 of 2496,Asia,Israel,Tel Aviv,8%,54629,buffalo.edu,7166452000
University College Dublin,,,,Oceania,Australia,Melbourne,5%,49569,www.ucd.ie,+353 (1) 716 7777
University College London,#20 of 14131,#3 of 2785,#3 of 163,Europe,Sweden,Umea,,191386,www.ucl.ac.uk,+44 (20) 7679 2000
University of Aberdeen,,,,North America,United States,New York State,32%,44656,www.abdn.ac.uk,+44 (1224) 272 000
University of Adelaide,#183 of 14131,#8 of 59,#7 of 40,Asia,Taiwan,Taipei,77%,68176,www.adelaide.edu.au,+61 (0)8 8303 4455
University of Alabama,,,,Oceania,Australia,Sydney,84%,75882,www.uab.edu,2053486010
University of Alabama at Birmingham,#192 of 14131,#98 of 2597,#87 of 2496,Asia,China,Hangzhou,32%,44011,ua.edu,2059344011
University of Alberta,#78 of 14131,#56 of 2597,#4 of 101,Europe,United Kingdom,England,60%,134970,www.ualberta.ca,+1 (780) 492 3111
University of Amsterdam,#68 of 14131,#9 of 2785,#1 of 58,North America,United States,Texas,,125528,www.uva.nl,+31 (20) 525 9111
University of Arizona,#42 of 14131,#37 of 2597,#35 of 2496,North America,United States,Maryland,,139350,www.arizona.edu,5206212211
University of Auckland,#174 of 14131,#7 of 59,#1 of 8,Asia,China,Hong Kong,80%,67014,www.auckland.ac.nz,+64 (9) 373 7999
University of Barcelona,#107 of 14131,#27 of 2785,#1 of 75,North America,United States,Michigan,20%,99036,www.ub.edu,+34 934021100
University of Basel,,,,North America,United States,California,84%,47910,www.unibas.ch,+41 (61) 267 3111
University of Bergen,,,,North America,United States,North Carolina,8%,46084,uib.no,+47 55 58 00 00
University of Bern,#171 of 14131,#56 of 2785,#5 of 23,Europe,Germany,Lower Saxony,15%,70376,www.unibe.ch,+41 (31) 631 3470
University of Birmingham,#101 of 14131,#24 of 2785,#10 of 163,Asia,Singapore,Singapore City,45%,104483,birmingham.ac.uk,+44 (121) 414 3344
University of Bologna,#98 of 14131,#22 of 2785,#1 of 88,Europe,Spain,Cerdanyola del Valles,25%,102678,www.unibo.it,+39 051 209 9965
University of Bonn,#128 of 14131,#33 of 2785,#4 of 369,North America,United States,Texas,63%,78199,www.uni-bonn.de,+49 (228) 73 0
University of Bristol,#99 of 14131,#23 of 2785,#9 of 163,North America,Canada,Quebec State,71%,104546,bristol.ac.uk,+44 (117) 928 9000
University of British Columbia,#33 of 14131,#29 of 2597,#2 of 101,Europe,Switzerland,Lausanne,,184212,www.ubc.ca,+1 (604) 822 8999
University of Buenos Aires,,,,North America,United States,Maryland,11%,52468,uba.ar,+54 (11) 4510 1100
University of Calgary,#131 of 14131,#77 of 2597,#8 of 101,North America,United States,New Mexico,49%,92888,ucalgary.ca,+1 (403) 210 7625
University of California - Berkeley,#5 of 14131,#5 of 2597,#5 of 2496,North America,United States,Oklahoma State,,241635,www.berkeley.edu,5106426000
University of California - Davis,#34 of 14131,#30 of 2597,#28 of 2496,Europe,Norway,Trondheim,,155482,www.ucdavis.edu,5307521011
University of California - Irvine,#56 of 14131,#46 of 2597,#43 of 2496,Europe,Switzerland,Basel,,101320,uci.edu,9498245011
University of California - Los Angeles,#6 of 14131,#6 of 2597,#6 of 2496,North America,United States,Kentucky,,247701,www.ucla.edu,3108254321
University of California - Riverside,,,,Europe,Germany,Bavaria,55%,48643,ucr.edu,9518271012
University of California - San Francisco,#46 of 14131,#40 of 2597,#38 of 2496,Europe,United Kingdom,England,,160816,www.ucsf.edu,4154769000
University of California - Santa Barbara,#84 of 14131,#59 of 2597,#55 of 2496,North America,United States,Oklahoma State,85%,72006,www.ucsb.edu,8058938000
University of California - Santa Cruz,#176 of 14131,#93 of 2597,#83 of 2496,North America,United States,New Hampshire,49%,40788,www.ucsc.edu,8314590111
University of California-San Diego,#30 of 14131,#26 of 2597,#25 of 2496,North America,Canada,British Columbia,,179956,ucsd.edu,8585342230
University of Cambridge,#7 of 14131,#1 of 2785,#1 of 163,Europe,Belgium,Brussels,,260850,www.cam.ac.uk,+44 (1223) 337 733
University of Cape Town,,,,Oceania,Australia,Sydney,46%,56979,www.uct.ac.za,+27 (21) 650 9111
University of Central Florida,,,,North America,United States,Michigan,63%,44002,www.ucf.edu,4078232000
University of Chicago,#27 of 14131,#23 of 2597,#22 of 2496,Europe,Portugal,Porto,,148394,www.uchicago.edu,7737021234
University of Chile,,,,North America,United States,Colorado,27%,59554,www.uchile.cl,+56 (2) 978 2000
University of Cincinnati,#188 of 14131,#96 of 2597,#85 of 2496,North America,United States,Kansas State,14%,66150,www.uc.edu,5135566000
University of Cologne,#185 of 14131,#61 of 2785,#13 of 369,Europe,Belgium,Ghent,84%,60512,uni-koeln.de,
University of Colorado Boulder,#58 of 14131,#47 of 2597,#44 of 2496,Latin America,Chile,Santiago,,104806,www.colorado.edu,3034921411
University of Connecticut,#122 of 14131,#73 of 2597,#67 of 2496,North America,Canada,Ontario,89%,72332,uconn.edu,8604862000
University of Copenhagen,#73 of 14131,#11 of 2785,#1 of 27,Europe,Germany,North Rhine-Westphalia,,136745,www.ku.dk,+45 3532 2626
University of Delaware,,,,Europe,Norway,Oslo,40%,48999,udel.edu,3028312000
University of East Anglia,,,,North America,United States,Pennsylvania,9%,34363,www.uea.ac.uk,+44 (1603) 456 161
University of Edinburgh,#37 of 14131,#4 of 2785,#4 of 163,North America,United States,Vermont,,142627,www.ed.ac.uk,+44 (131) 650 1000
University of Erlangen Nuremberg,,,,Asia,Japan,Suita,91%,76010,www.fau.de,+49 (9131) 85 24444
University of Exeter,,,,North America,Canada,Alberta,17%,46419,www.exeter.ac.uk,+44 (1392) 661 000
University of Florence,,,,North America,United States,Virginia,7%,70023,www.unifi.it,+39 055 27571
University of Florida,#32 of 14131,#28 of 2597,#27 of 2496,North America,United States,West Virginia,,174050,www.ufl.edu,3523923261
University of Freiburg,#155 of 14131,#48 of 2785,#10 of 369,Europe,Germany,Baden-Wurttemberg,14%,68881,uni-freiburg.de,+49 (761) 203-0
University of Geneva,#168 of 14131,#54 of 2785,#4 of 23,Europe,Germany,Hamburg State,24%,58581,unige.ch,+41 (22) 379 7111
University of Georgia,#80 of 14131,#57 of 2597,#53 of 2496,Europe,Belgium,Liege,67%,81584,www.uga.edu,7065423000
University of Glasgow,#91 of 14131,#18 of 2785,#8 of 163,Europe,Germany,Brandenburg,71%,90413,www.gla.ac.uk,+44 (141) 330 2000
University of Gothenburg,,,,Europe,Sweden,Lund,75%,57498,gu.se,+46 (31) 786 1000
University of Gottingen,#130 of 14131,#34 of 2785,#5 of 369,Europe,Switzerland,Bern,27%,77583,uni-goettingen.de,+49 (551) 390
University of Granada,,,,North America,United States,Massachusetts,5%,54962,www.ugr.es,+34 958 243 000
University of Groningen,#161 of 14131,#50 of 2785,#4 of 58,Europe,Netherlands,Delft,35%,61271,www.rug.nl,+31 (50) 363 5420
University of Hamburg,#133 of 14131,#35 of 2785,#6 of 369,Europe,Switzerland,Geneva,24%,80199,www.uni-hamburg.de,+49 (40) 42838-0
University of Helsinki,#87 of 14131,#17 of 2785,#1 of 36,Europe,Germany,Saxony,35%,100167,www.helsinki.fi,+358 (9) 1911
University of Hong Kong,#127 of 14131,#12 of 5830,#5 of 960,Oceania,New Zealand,Auckland,83%,88028,hku.hk,+852 2859 2111
University of Houston,,,,Asia,Singapore,Singapore City,41%,48378,uh.edu,7137431000
University of Illinois at Chicago,#103 of 14131,#66 of 2597,#62 of 2496,Asia,Japan,Nagoya,70%,96408,www.uic.edu,3129967000
University of Illinois at Urbana - Champaign,#21 of 14131,#17 of 2597,#16 of 2496,Europe,Italy,Campania,,202516,illinois.edu,2173331000
University of Iowa,#69 of 14131,#52 of 2597,#49 of 2496,Europe,United Kingdom,England,,96816,uiowa.edu,3193353500
University of Kansas,#113 of 14131,#70 of 2597,#65 of 2496,North America,United States,Ohio,25%,71719,ku.edu,7858642700
University of Kentucky,#102 of 14131,#65 of 2597,#61 of 2496,Europe,United Kingdom,England,5%,80936,uky.edu,8592579000
University of Lausanne,,,,North America,Canada,British Columbia,46%,41658,unil.ch,+41 (21) 692 1111
University of Leeds,#108 of 14131,#28 of 2785,#11 of 163,North America,United States,Utah,3%,92009,leeds.ac.uk,+44 (113) 243 1751
University of Leicester,,,,Asia,China,Beijing,79%,56904,le.ac.uk,+44 (116) 252 2522
University of Leipzig,#197 of 14131,#67 of 2785,#15 of 369,Europe,Italy,Lazio,78%,52599,www.uni-leipzig.de,+49 (341) 97 108
University of Liege,,,,North America,United States,Georgia,88%,140300,uliege.be,+32 (4) 366 9666
University of Liverpool,#180 of 14131,#59 of 2785,#18 of 163,North America,United States,Oregon,9%,84784,www.liverpool.ac.uk,+44 (151) 794 2000
University of London,,,,North America,United States,Iowa State,17%,80122,london.ac.uk,+44 (20) 7862 8000
University of Louisville,,,,North America,United States,California,14%,43893,louisville.edu,5028525555
University of Manchester,#60 of 14131,#7 of 2785,#6 of 163,North America,United States,Virginia,,151596,manchester.ac.uk,+44 (161) 306 6000
University of Manitoba,,,,Europe,Germany,Bavaria,88%,57289,umanitoba.ca,+1 (204) 474 8880
University of Maryland - College Park,#36 of 14131,#32 of 2597,#30 of 2496,Europe,Belgium,Louvain-la-Neuve,,140073,umd.edu,3014051000
University of Maryland Baltimore,,,,North America,United States,Arizona,17%,56037,www.umaryland.edu,4107063100
University of Massachusetts - Amherst,#90 of 14131,#61 of 2597,#57 of 2496,Asia,China,Wuhan,2%,74126,umass.edu,4135450111
University of Melbourne,#53 of 14131,#1 of 59,#1 of 40,Europe,Ireland,Dublin,,155134,www.unimelb.edu.au,+61 (0)3 8344 4000
University of Miami,#100 of 14131,#64 of 2597,#60 of 2496,Asia,China,Nanjing,26%,88306,welcome.miami.edu,3052842211
University of Michigan - Ann Arbor,#3 of 14131,#3 of 2597,#3 of 2496,Europe,Germany,Thuringia,,305066,umich.edu,7347641817
University of Milan,#124 of 14131,#32 of 2785,#3 of 88,Asia,Japan,Fukuoka,45%,124921,www.unimi.it,+39 02 503 111
University of Minnesota - Twin Cities,#17 of 14131,#15 of 2597,#14 of 2496,Asia,Japan,Tokyo,,227099,twin-cities.umn.edu,6126255000
University of Missouri - Columbia,#112 of 14131,#69 of 2597,#64 of 2496,Europe,Netherlands,Rotterdam,55%,73560,missouri.edu,5738822121
University of Montreal,#105 of 14131,#67 of 2597,#5 of 101,Asia,Japan,Sapporo,11%,90860,www.umontreal.ca,+1 (514) 343 6111
