ID,Name,FullName,Age,Height,Weight,PhotoUrl,Nationality,Overall,Potential,Growth,TotalStats,BaseStats,Positions,BestPosition,Club,NationalTeam,NationalPosition,NationalNumber,PreferredFoot,IntReputation,WeakFoot,SkillMoves,AttackingWorkRate,DefensiveWorkRate,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,STRating,LWRating,LFRating,CFRating,RFRating,RWRating,CAMRating,LMRating,CMRating,RMRating,LWBRating,CDMRating,RWBRating,LBRating,CBRating,RBRating,GKRating
203376,V. van Dijk,Virgil van Dijk,30,195,92,https://cdn.sofifa.net/players/203/376/23_60.png,Netherlands,90,90,0,2122,462,CB,CB,Netherlands,Netherlands,CB,4,Right,4,3,2,Medium,Medium,81,61,71,72,91,86,53,52,88,79,45,70,60,70,86,76,70,90,61,89,53,84,88,74,93,64,85,90,47,65,62,90,92,92,86,13,10,13,11,11,74,68,70,70,70,68,73,73,79,73,83,88,83,85,90,85,23
177003,L. Modri훶,Luka Modri훶,36,172,66,https://cdn.sofifa.net/players/177/003/23_60.png,Croatia,89,89,0,2263,466,CM,CM,Croatia,Croatia,CM,10,Right,4,4,4,High,High,73,77,90,88,72,66,86,73,55,92,76,85,85,78,93,91,76,70,91,89,92,79,67,83,58,82,62,80,79,90,82,92,70,75,72,13,9,7,14,9,80,84,83,83,83,84,89,88,89,88,84,85,84,82,75,82,23
212622,J. Kimmich,Joshua Kimmich,27,177,75,https://cdn.sofifa.net/players/212/622/23_60.png,Germany,89,90,1,2283,473,"CDM,RB",CDM,Germany,Germany,CDM,6,Right,4,4,3,High,Medium,68,72,87,84,83,79,91,68,72,87,69,82,85,69,90,85,77,60,84,88,84,78,79,94,68,83,89,84,80,85,44,85,85,85,78,8,15,7,15,15,80,81,80,80,80,81,85,86,89,86,87,89,87,86,84,86,24
208722,S. Man챕,Sadio Man챕,30,175,69,https://cdn.sofifa.net/players/208/722/23_60.png,Senegal,89,89,0,2203,463,"LW,CAM",LW,Senegal,Senegal,LW,10,Right,4,4,4,High,Medium,90,84,80,89,44,76,78,86,84,84,75,89,79,68,71,87,91,90,93,91,88,85,87,84,72,78,75,35,90,84,81,84,42,42,38,10,10,15,7,14,89,87,87,87,87,87,89,89,82,89,71,68,71,68,62,68,22
212831,Alisson,Alisson Ramses Becker,29,193,91,https://cdn.sofifa.net/players/212/831/23_60.png,Brazil,89,90,1,1432,485,GK,GK,Brazil,Brazil,GK,1,Right,3,3,1,Medium,Medium,86,86,85,88,51,89,17,13,29,60,20,27,19,18,58,40,56,47,40,87,37,64,52,32,78,14,27,11,13,66,23,68,15,19,16,86,86,85,89,88,41,38,41,41,41,38,47,44,49,44,36,42,36,35,35,35,90
200104,H. Son,Heung Min Son,29,183,78,https://cdn.sofifa.net/players/200/104/23_60.png,Korea Republic,89,89,0,2153,460,"LW,ST",LW,Korea Republic,Korea Republic,LW,7,Right,4,5,4,High,Medium,90,87,80,87,42,74,81,87,67,83,81,88,87,77,73,85,88,91,87,91,79,88,60,88,73,90,62,39,91,80,71,85,45,37,31,11,13,13,6,10,88,87,87,87,87,87,89,89,82,89,71,67,71,67,58,67,22
210257,Ederson,Ederson Santana de Moraes,28,188,86,https://cdn.sofifa.net/players/210/257/23_60.png,Brazil,88,90,2,1579,497,GK,GK,Brazil,Brazil,SUB,23,Left,3,3,1,Medium,Medium,87,82,93,86,63,86,20,14,14,61,18,23,15,20,66,40,64,63,60,88,48,70,66,41,78,18,38,27,20,70,51,70,29,15,8,87,82,93,86,86,43,41,43,43,43,41,50,47,52,47,40,47,40,39,38,39,89
239818,R첬ben Dias,R첬ben Santos Gato Alves Dias,25,187,82,https://cdn.sofifa.net/players/239/818/23_60.png,Portugal,88,91,3,1894,412,CB,CB,Portugal,Portugal,CB,4,Right,3,4,2,Medium,High,63,39,66,68,88,88,54,29,87,82,32,64,46,48,76,74,57,67,60,89,56,74,78,83,89,26,92,85,39,51,45,81,90,89,85,7,8,13,7,12,64,59,60,60,60,59,65,67,73,67,81,86,81,83,90,83,21
239085,E. Haaland,Erling Haaland,21,194,94,https://cdn.sofifa.net/players/239/085/23_60.png,Norway,88,94,6,2121,461,ST,ST,Norway,Norway,ST,9,Left,4,3,3,High,Medium,88,91,65,80,49,88,47,94,79,74,88,78,77,62,53,82,82,93,77,88,72,94,74,82,93,87,85,43,89,74,76,85,44,53,29,7,14,13,11,7,90,80,84,84,84,80,83,80,76,80,65,67,65,64,65,64,22
228702,F. de Jong,Frenkie de Jong,25,181,74,https://cdn.sofifa.net/players/228/702/23_60.png,Netherlands,88,93,5,2260,483,"CDM,CM",CM,Netherlands,Netherlands,CM,21,Right,3,3,4,Medium,High,82,70,86,89,78,78,79,72,72,91,70,89,84,64,90,92,80,84,86,90,82,68,76,90,74,68,75,83,77,89,53,92,76,77,80,7,13,10,10,9,82,84,83,83,83,84,89,89,90,89,87,88,87,86,82,86,22
210514,Jo찾o Cancelo,Jo찾o Pedro Cavaco Cancelo,28,182,74,https://cdn.sofifa.net/players/210/514/23_60.png,Portugal,88,88,0,2263,482,"RB,LB",RB,Portugal,Portugal,RB,20,Right,3,4,4,High,Medium,85,73,85,85,81,73,88,69,72,88,62,86,87,69,79,87,86,84,80,85,78,80,72,91,62,79,76,82,81,85,52,86,81,84,80,6,9,15,14,14,81,84,83,83,83,84,87,88,87,88,88,86,88,87,82,87,22
207865,Marquinhos,Marcos Ao찼s Corr챗a,28,183,75,https://cdn.sofifa.net/players/207/865/23_60.png,Brazil,88,90,2,2082,453,CB,CB,Brazil,Brazil,CB,4,Right,3,3,3,Medium,High,79,56,75,74,89,80,68,59,88,84,35,69,58,32,85,79,77,81,68,88,66,65,92,82,78,45,81,89,70,76,52,86,90,89,89,6,6,12,10,13,75,73,73,73,73,73,78,79,82,79,86,88,86,87,90,87,21
202652,R. Sterling,Raheem Sterling,27,170,69,https://cdn.sofifa.net/players/202/652/23_60.png,England,88,88,0,2115,451,"LW,RW",LW,England,England,LW,10,Right,4,3,4,High,Medium,90,81,80,88,45,67,80,85,46,83,67,89,79,72,69,85,94,86,94,92,93,78,57,79,65,80,59,30,90,83,70,82,47,53,47,15,12,12,15,9,84,87,86,86,86,87,88,88,82,88,72,67,72,68,58,68,24
230621,G. Donnarumma,Gianluigi Donnarumma,23,196,90,https://cdn.sofifa.net/players/230/621/23_60.png,Italy,87,91,4,1368,474,GK,GK,Italy,Italy,GK,21,Right,3,3,1,Medium,Medium,89,83,77,88,53,84,12,12,12,36,8,28,12,14,34,30,50,55,64,84,38,58,72,34,72,18,30,26,14,60,24,65,20,14,16,89,83,77,84,88,37,34,36,36,36,34,41,38,40,38,34,37,34,33,34,33,88
192505,R. Lukaku,Romelu Lukaku,29,190,94,https://cdn.sofifa.net/players/192/505/23_60.png,Belgium,87,87,0,2094,451,ST,ST,Belgium,Belgium,ST,9,Left,4,4,3,Medium,Low,82,87,74,78,48,82,73,89,87,77,88,82,78,66,70,80,78,86,59,88,52,89,74,67,95,78,71,35,86,75,88,82,40,57,32,8,15,14,7,10,87,81,83,83,83,81,83,83,78,83,66,66,66,65,65,65,22
193041,K. Navas,Keylor Navas,35,185,80,https://cdn.sofifa.net/players/193/041/23_60.png,Costa Rica,87,87,0,1422,472,GK,GK,Costa Rica,Costa Rica,GK,1,Right,3,3,1,Medium,Medium,88,83,74,88,53,86,11,15,11,40,11,24,21,15,37,30,54,53,60,84,61,56,74,39,75,13,32,22,16,68,25,67,28,14,14,88,83,74,86,88,37,35,37,37,37,35,43,40,42,40,35,39,35,34,35,34,87
197445,D. Alaba,David Alaba,30,180,78,https://cdn.sofifa.net/players/197/445/23_60.png,Austria,87,87,0,2276,476,LB,LB,Austria,Austria,LB,8,Left,4,4,3,High,Medium,79,71,83,81,85,77,83,63,77,87,67,80,77,85,80,82,79,79,76,88,78,82,81,74,78,78,78,87,73,78,79,85,88,84,85,5,7,14,15,9,80,79,79,79,79,79,83,83,84,83,86,87,86,86,86,86,21
202556,M. Depay,Memphis Depay,28,178,78,https://cdn.sofifa.net/players/202/556/23_60.png,Netherlands,87,87,0,2121,448,"CF,ST",CF,Netherlands,Netherlands,SUB,10,Right,4,3,5,Medium,Low,84,86,82,87,31,78,83,86,65,82,76,88,85,84,75,87,83,85,81,87,86,88,69,78,82,85,72,28,88,85,87,83,25,31,20,8,14,6,12,10,87,86,86,86,86,86,87,87,81,87,65,63,65,60,53,60,22
209658,L. Goretzka,Leon Goretzka,27,189,82,https://cdn.sofifa.net/players/209/658/23_60.png,Germany,87,88,1,2312,492,"CM,CDM",CM,Germany,Germany,CDM,8,Right,4,4,3,High,Medium,78,82,82,84,81,85,75,82,86,86,71,84,76,75,85,87,78,78,76,87,73,85,80,84,88,86,82,86,85,84,60,82,74,85,78,13,8,15,11,9,87,83,84,84,84,83,87,86,88,86,85,87,85,85,86,85,22
201024,K. Koulibaly,Kalidou Koulibaly,31,187,89,https://cdn.sofifa.net/players/201/024/23_60.png,Senegal,87,87,0,1789,415,CB,CB,Senegal,Senegal,CB,3,Right,3,4,2,Medium,High,82,33,59,68,88,85,38,25,84,71,14,70,53,28,67,72,74,88,51,83,34,67,82,70,94,20,83,85,35,60,33,82,90,89,86,7,11,7,13,5,62,59,60,60,60,59,64,66,69,66,78,82,78,81,87,81,20
231478,L. Mart챠nez,Lautaro Mart챠nez,24,174,72,https://cdn.sofifa.net/players/231/478/23_60.png,Argentina,87,91,4,2174,458,ST,ST,Argentina,Argentina,ST,22,Right,3,4,4,High,Medium,84,84,72,86,48,84,58,89,84,76,90,85,78,54,73,87,87,82,86,89,89,82,89,80,84,77,90,45,88,80,74,86,55,31,44,11,8,8,8,13,89,82,85,85,85,82,86,84,80,84,68,69,68,66,65,66,22
167948,H. Lloris,Hugo Lloris,35,188,82,https://cdn.sofifa.net/players/167/948/23_60.png,France,87,87,0,1354,470,GK,GK,France,France,GK,1,Left,4,1,1,Medium,Medium,88,83,65,88,62,84,13,10,9,43,15,12,12,10,45,29,61,62,54,84,56,49,74,41,43,14,31,25,9,51,40,59,24,12,18,88,83,65,84,88,33,32,33,33,33,32,39,38,40,38,36,38,36,36,32,36,87
173731,G. Bale,Gareth Bale,32,186,82,https://cdn.sofifa.net/players/173/731/23_60.png,Wales,87,87,0,2243,468,"RW,ST",RW,Wales,Wales,RW,11,Left,4,3,4,Medium,Medium,83,89,84,86,55,71,87,89,84,83,85,88,92,91,79,87,80,86,83,85,64,91,85,67,76,92,62,53,83,82,84,88,50,53,50,15,15,11,5,6,87,86,86,86,86,86,87,87,83,87,74,71,74,71,67,71,22
186153,W. Szcz휌sny,Wojciech Szcz휌sny,32,195,90,https://cdn.sofifa.net/players/186/153/23_60.png,Poland,86,86,0,1314,462,GK,GK,Poland,Poland,GK,1,Right,3,3,1,Medium,Medium,86,81,73,87,49,86,12,12,16,32,14,11,16,14,36,22,51,47,55,82,51,55,71,45,65,14,40,15,14,48,18,65,20,13,12,86,81,73,86,87,34,28,31,31,31,28,35,34,36,34,31,34,31,31,32,31,86
177683,Y. Sommer,Yann Sommer,33,183,79,https://cdn.sofifa.net/players/177/683/23_60.png,Switzerland,86,86,0,1359,471,GK,GK,Switzerland,Switzerland,GK,1,Right,3,4,1,Medium,Medium,79,83,82,90,51,86,13,13,10,40,8,15,12,13,31,25,48,54,55,82,58,62,73,45,68,12,38,21,15,64,24,57,9,19,12,79,83,82,86,90,35,32,34,34,34,32,39,37,40,37,33,36,33,32,32,32,86
164240,Thiago Silva,Thiago Emiliano da Silva,37,183,79,https://cdn.sofifa.net/players/164/240/23_60.png,Brazil,86,86,0,2023,413,CB,CB,Brazil,Brazil,CB,3,Right,4,3,2,Medium,High,49,54,73,72,87,78,60,40,91,81,61,67,62,61,82,79,45,52,67,81,66,71,88,68,82,65,76,87,59,71,60,86,86,87,83,9,12,5,9,10,69,65,66,66,66,65,72,70,79,70,78,85,78,80,86,80,21
189596,T. M체ller,Thomas M체ller,32,185,76,https://cdn.sofifa.net/players/189/596/23_60.png,Germany,86,86,0,2137,442,"CAM,RM,CF",CAM,Germany,Germany,CAM,13,Right,4,4,3,High,High,69,84,82,80,56,71,85,87,81,84,84,77,81,59,79,84,66,71,72,94,71,78,77,86,66,82,62,58,95,86,70,84,47,57,46,6,7,11,14,14,86,83,84,84,84,83,86,86,85,86,74,73,74,72,66,72,23
189511,Sergio Busquets,Sergio Busquets Burgos,33,189,76,https://cdn.sofifa.net/players/189/511/23_60.png,Spain,86,86,0,2011,420,CDM,CDM,Spain,Spain,CDM,5,Right,4,3,3,Medium,Medium,42,62,80,80,83,73,62,67,68,88,50,80,66,68,86,86,40,43,66,82,50,61,66,75,70,54,79,85,76,84,60,90,84,84,83,5,8,13,9,13,73,72,74,74,74,72,80,77,85,77,79,86,79,79,83,79,20
251854,Pedri,Pedro Gonz찼lez L처pez,19,174,61,https://cdn.sofifa.net/players/251/854/23_60.png,Spain,86,93,7,2116,454,CM,CM,Spain,Spain,CM,26,Right,2,4,4,High,High,79,69,82,88,68,68,68,72,50,88,56,88,79,62,86,89,82,76,88,85,90,66,65,91,60,68,62,74,79,89,53,87,68,73,63,12,7,11,8,8,76,82,81,81,81,82,86,85,87,85,80,81,80,77,71,77,19
212218,A. Laporte,Aymeric Laporte,28,191,85,https://cdn.sofifa.net/players/212/218/23_60.png,Spain,86,88,2,1976,419,CB,CB,Spain,Spain,CB,24,Left,3,3,2,Medium,Medium,62,50,72,69,86,80,58,45,84,83,40,63,61,69,81,78,59,65,57,87,60,68,80,72,84,47,81,87,54,65,44,84,86,87,86,10,11,5,14,5,69,65,66,66,66,65,71,71,77,71,80,86,80,82,88,82,21
190460,C. Eriksen,Christian Eriksen,30,181,76,https://cdn.sofifa.net/players/190/460/23_60.png,Denmark,86,86,0,2059,429,"CAM,CM",CAM,Denmark,Denmark,CAM,10,Right,3,5,4,Medium,Low,67,81,89,85,53,54,86,79,52,90,80,83,89,87,91,90,68,67,76,83,81,84,49,67,52,88,46,56,78,89,67,87,59,57,22,9,14,7,7,6,80,82,82,82,82,82,86,85,86,85,71,73,71,66,59,66,20
192448,M. ter Stegen,Marc-Andr챕 ter Stegen,30,187,85,https://cdn.sofifa.net/players/192/448/23_60.png,Germany,86,87,1,1432,472,GK,GK,Germany,Germany,RES,22,Right,4,4,1,Medium,Medium,84,80,86,90,48,84,18,14,11,61,14,21,18,12,63,30,45,50,39,83,43,65,79,35,78,10,43,22,11,70,25,70,25,13,10,84,80,86,84,90,37,35,38,38,38,35,45,42,48,42,36,44,36,34,36,34,87
199434,D. Tadi훶,Du큄an Tadi훶,33,181,76,https://cdn.sofifa.net/players/199/434/23_60.png,Serbia,86,86,0,2111,440,"CAM,CF,ST",CAM,Serbia,Serbia,CAM,10,Left,3,3,4,High,Medium,68,81,86,85,43,77,88,83,66,87,80,84,85,79,80,88,68,68,75,85,84,79,59,88,81,77,56,41,85,89,84,87,51,34,26,11,11,14,9,16,83,83,83,83,83,83,86,86,84,86,69,69,69,64,58,64,23
199556,M. Verratti,Marco Verratti,29,165,60,https://cdn.sofifa.net/players/199/556/23_60.png,Italy,86,86,0,2185,443,"CM,CAM",CM,Italy,Italy,CM,6,Right,3,4,4,Medium,High,60,60,87,91,79,66,82,58,57,90,64,91,85,64,89,91,65,55,90,87,93,60,66,75,53,57,89,85,78,89,64,94,78,82,84,12,12,15,15,10,73,80,78,78,78,80,86,85,86,85,85,86,85,83,80,83,24
238794,Vin챠cius Jr,Vin챠cius Jos챕 de Oliveira J첬nior,21,176,73,https://cdn.sofifa.net/players/238/794/23_60.png,Brazil,86,92,6,1985,434,LW,LW,Brazil,Brazil,LW,20,Right,2,4,5,High,Medium,95,79,74,90,29,67,72,84,50,75,72,92,77,62,73,89,95,95,94,82,83,76,75,84,62,76,58,26,82,75,65,79,32,25,18,5,7,7,7,10,81,85,84,84,84,85,85,86,77,86,63,58,63,58,47,58,17
206113,S. Gnabry,Serge Gnabry,26,176,77,https://cdn.sofifa.net/players/206/113/23_60.png,Germany,86,86,0,2080,445,"RM,LM",RM,Germany,Germany,RM,10,Right,4,4,4,High,Medium,84,84,79,85,43,70,78,86,42,82,83,88,74,62,77,82,85,84,86,83,88,87,65,78,69,82,63,38,86,82,68,82,45,44,43,14,10,10,9,7,83,84,84,84,84,84,86,86,81,86,69,67,69,65,57,65,21
209499,Fabinho,F찼bio Henrique Tavares,28,188,78,https://cdn.sofifa.net/players/209/499/23_60.png,Brazil,86,86,0,2157,457,"CDM,CM",CDM,Brazil,Brazil,SUB,15,Right,3,2,3,Medium,High,66,69,80,77,83,82,75,63,75,87,47,76,71,53,85,81,64,68,63,87,64,81,75,88,81,70,81,83,74,76,90,85,85,85,82,13,12,6,8,8,77,75,76,76,76,75,80,80,85,80,84,86,84,84,85,84,21
211110,P. Dybala,Paulo Dybala,28,177,75,https://cdn.sofifa.net/players/211/110/23_60.png,Argentina,86,86,0,2102,437,"RW,ST",RW,Argentina,Argentina,SUB,21,Left,3,3,4,High,Low,80,84,85,89,40,59,82,81,58,86,88,89,89,88,79,91,84,76,88,79,90,84,74,68,60,88,43,42,82,91,84,79,32,41,39,5,4,4,5,8,83,85,85,85,85,85,86,86,83,86,68,65,68,64,54,64,17
212198,Bruno Fernandes,Bruno Miguel Borges Fernandes,27,179,69,https://cdn.sofifa.net/players/212/198/23_60.png,Portugal,86,86,0,2301,469,"CM,CAM",CM,Portugal,Portugal,CAM,8,Right,3,3,4,High,High,72,86,88,81,66,76,85,83,64,88,87,79,87,85,88,84,75,69,78,91,79,88,71,92,66,88,80,64,86,91,90,79,66,69,65,12,14,15,8,14,84,83,84,84,84,83,86,86,86,86,80,81,80,78,73,78,24
205452,A. R체diger,Antonio R체diger,29,190,85,https://cdn.sofifa.net/players/205/452/23_60.png,Germany,86,87,1,2002,442,CB,CB,Germany,Germany,CB,2,Right,2,3,2,High,High,82,53,70,67,85,85,68,40,82,80,34,64,43,56,78,72,72,91,56,85,50,77,84,71,90,67,92,84,49,61,40,78,86,87,84,14,15,10,12,8,69,67,67,67,67,67,69,71,74,71,81,83,81,83,87,83,22
212616,R. De Paul,Rodrigo Javier De Paul,28,180,70,https://cdn.sofifa.net/players/212/616/23_60.png,Argentina,86,86,0,2264,481,CM,CM,Argentina,Argentina,CM,7,Right,1,3,4,High,Medium,78,78,85,84,75,81,78,77,58,87,71,84,84,76,87,86,80,76,78,84,80,81,68,91,80,79,76,79,85,88,66,81,71,83,75,13,12,10,7,14,81,82,83,83,83,82,86,86,86,86,83,84,83,82,78,82,21
216352,M. Brozovi훶,Marcelo Brozovi훶,29,181,68,https://cdn.sofifa.net/players/216/352/23_60.png,Croatia,86,86,0,2227,464,CDM,CDM,Croatia,Croatia,CDM,11,Right,3,4,3,Medium,Medium,69,74,81,81,81,78,73,69,70,85,65,79,79,74,84,84,70,68,79,83,84,80,70,94,68,84,86,84,67,83,69,82,80,84,82,8,8,15,11,8,77,77,77,77,77,77,83,81,86,81,84,86,84,84,83,84,20
218667,Bernardo Silva,Bernardo Mota Carvalho e Silva,27,173,64,https://cdn.sofifa.net/players/218/667/23_60.png,Portugal,86,86,0,2196,462,"CM,RW,CAM",CM,Portugal,Portugal,RW,10,Left,2,3,4,High,High,77,78,85,92,62,68,85,79,51,89,78,92,85,67,82,91,84,71,94,87,92,79,51,94,54,78,75,65,83,85,68,90,59,71,53,9,10,14,12,9,80,86,84,84,84,86,86,86,86,86,79,78,79,76,67,76,21
223848,S. Milinkovi훶-Savi훶,Sergej Milinkovi훶-Savi훶,27,192,76,https://cdn.sofifa.net/players/223/848/23_60.png,Serbia,86,87,1,2250,477,"CM,CAM,CF",CM,Serbia,Serbia,CM,20,Right,3,5,4,High,Medium,68,80,82,82,79,86,71,82,86,86,74,85,81,78,86,87,66,70,62,84,63,83,87,91,87,81,79,79,82,83,59,84,78,79,74,7,10,7,16,7,85,80,82,82,82,80,86,84,87,84,83,86,83,82,84,82,21
224232,N. Barella,Nicol챵 Barella,25,172,68,https://cdn.sofifa.net/players/224/232/23_60.png,Italy,86,89,3,2296,480,CM,CM,Italy,Italy,CM,18,Right,3,3,3,High,High,79,76,83,84,77,81,79,73,53,86,80,80,79,67,85,87,80,78,90,88,90,77,78,94,73,79,84,83,81,86,73,86,79,79,81,11,5,13,14,11,80,82,81,81,81,82,86,86,88,86,86,87,86,85,81,85,22
234642,횋. Mendy,횋douard Mendy,30,197,86,https://cdn.sofifa.net/players/234/642/23_60.png,Senegal,86,87,1,1223,454,GK,GK,Senegal,Senegal,GK,1,Right,2,2,1,Medium,Medium,84,82,80,88,35,85,10,5,10,47,9,18,13,14,54,31,33,36,50,84,33,60,39,37,72,9,22,13,6,52,13,58,10,11,13,84,82,80,85,88,31,29,31,31,31,29,37,34,40,34,30,36,30,28,28,28,86
216267,A. Robertson,Andrew Robertson,28,178,64,https://cdn.sofifa.net/players/216/267/23_60.png,Scotland,86,86,0,2134,457,LWB,LWB,Scotland,Scotland,LWB,3,Left,3,2,3,High,High,82,60,80,80,79,76,86,53,67,79,32,80,82,71,77,81,80,83,78,82,74,76,62,94,65,65,83,81,77,80,55,83,80,82,79,11,8,10,7,14,74,77,76,76,76,77,80,83,82,83,86,84,86,85,80,85,21
235212,A. Hakimi,Achraf Hakimi,23,181,73,https://cdn.sofifa.net/players/235/212/23_60.png,Morocco,86,89,3,2284,489,RB,RB,Morocco,Morocco,RB,2,Right,2,4,4,High,Medium,92,77,81,83,77,79,87,75,68,83,74,83,81,88,73,86,91,93,82,82,78,86,79,95,72,77,78,80,78,77,60,72,76,78,78,10,8,14,6,8,82,83,82,82,82,83,83,86,83,86,86,82,86,85,79,85,18
